	FPR0	TPR0	FPR1	TPR1	FPR2	TPR2	FPR3	TPR3	FPR4	TPR4
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.003875968992248	0.0	0.0038910505836575	0.0	0.0038910505836575	0.0	0.0038910505836575	0.0	0.0038910505836575
2	0.0	0.0697674418604651	0.0	0.1011673151750972	0.0	0.0155642023346303	0.0	0.0544747081712062	0.0	0.0505836575875486
3	0.0038910505836575	0.0697674418604651	0.003875968992248	0.1011673151750972	0.0038910505836575	0.0155642023346303	0.0038910505836575	0.0544747081712062	0.0038910505836575	0.0505836575875486
4	0.0038910505836575	0.1317829457364341	0.003875968992248	0.1089494163424124	0.0038910505836575	0.0194552529182879	0.0038910505836575	0.1050583657587548	0.0038910505836575	0.0894941634241245
5	0.0077821011673151	0.1317829457364341	0.0077519379844961	0.1089494163424124	0.0077821011673151	0.0194552529182879	0.0077821011673151	0.1050583657587548	0.0077821011673151	0.0894941634241245
6	0.0077821011673151	0.1744186046511628	0.0077519379844961	0.1556420233463035	0.0077821011673151	0.046692607003891	0.0077821011673151	0.1750972762645914	0.0077821011673151	0.1206225680933852
7	0.0116731517509727	0.1744186046511628	0.0116279069767441	0.1556420233463035	0.0116731517509727	0.046692607003891	0.0116731517509727	0.1750972762645914	0.0116731517509727	0.1206225680933852
8	0.0116731517509727	0.189922480620155	0.0116279069767441	0.2178988326848249	0.0116731517509727	0.0700389105058365	0.0116731517509727	0.3073929961089494	0.0116731517509727	0.1478599221789883
9	0.0155642023346303	0.189922480620155	0.0193798449612403	0.2178988326848249	0.0155642023346303	0.0700389105058365	0.0155642023346303	0.3073929961089494	0.0155642023346303	0.1478599221789883
10	0.0155642023346303	0.2558139534883721	0.0193798449612403	0.2373540856031128	0.0155642023346303	0.1011673151750972	0.0155642023346303	0.3268482490272373	0.0155642023346303	0.178988326848249
11	0.0194552529182879	0.2558139534883721	0.0232558139534883	0.2373540856031128	0.0194552529182879	0.1011673151750972	0.0233463035019455	0.3268482490272373	0.0194552529182879	0.178988326848249
12	0.0194552529182879	0.2829457364341085	0.0232558139534883	0.2607003891050584	0.0194552529182879	0.2101167315175097	0.0233463035019455	0.3540856031128405	0.0194552529182879	0.2490272373540856
13	0.0233463035019455	0.2829457364341085	0.0271317829457364	0.2607003891050584	0.0233463035019455	0.2101167315175097	0.0272373540856031	0.3540856031128405	0.0233463035019455	0.2490272373540856
14	0.0233463035019455	0.3875968992248062	0.0271317829457364	0.2879377431906614	0.0233463035019455	0.245136186770428	0.0272373540856031	0.4980544747081712	0.0233463035019455	0.2684824902723735
15	0.0272373540856031	0.3875968992248062	0.0310077519379844	0.2879377431906614	0.0272373540856031	0.245136186770428	0.0389105058365758	0.4980544747081712	0.0272373540856031	0.2684824902723735
16	0.0272373540856031	0.4031007751937984	0.0310077519379844	0.2918287937743191	0.0272373540856031	0.2645914396887159	0.0389105058365758	0.5019455252918288	0.0272373540856031	0.2840466926070039
17	0.0311284046692607	0.4031007751937984	0.0426356589147286	0.2918287937743191	0.0311284046692607	0.2645914396887159	0.0428015564202334	0.5019455252918288	0.0311284046692607	0.2840466926070039
18	0.0311284046692607	0.4108527131782946	0.0426356589147286	0.2957198443579766	0.0311284046692607	0.3346303501945525	0.0428015564202334	0.5175097276264592	0.0311284046692607	0.3346303501945525
19	0.0350194552529182	0.4108527131782946	0.0503875968992248	0.2957198443579766	0.0350194552529182	0.3346303501945525	0.046692607003891	0.5175097276264592	0.0350194552529182	0.3346303501945525
20	0.0350194552529182	0.4186046511627907	0.0503875968992248	0.3891050583657587	0.0350194552529182	0.3424124513618677	0.046692607003891	0.5369649805447471	0.0350194552529182	0.357976653696498
21	0.0389105058365758	0.4186046511627907	0.0542635658914728	0.3891050583657587	0.0428015564202334	0.3424124513618677	0.0505836575875486	0.5369649805447471	0.0389105058365758	0.357976653696498
22	0.0389105058365758	0.4844961240310077	0.0542635658914728	0.424124513618677	0.0428015564202334	0.377431906614786	0.0505836575875486	0.6108949416342413	0.0389105058365758	0.3852140077821012
23	0.0428015564202334	0.4844961240310077	0.0581395348837209	0.424124513618677	0.046692607003891	0.377431906614786	0.0544747081712062	0.6108949416342413	0.0428015564202334	0.3852140077821012
24	0.0428015564202334	0.4961240310077519	0.0581395348837209	0.4319066147859922	0.046692607003891	0.3852140077821012	0.0544747081712062	0.6536964980544747	0.0428015564202334	0.4124513618677042
25	0.0505836575875486	0.4961240310077519	0.0620155038759689	0.4319066147859922	0.0544747081712062	0.3852140077821012	0.0583657587548638	0.6536964980544747	0.046692607003891	0.4124513618677042
26	0.0505836575875486	0.5077519379844961	0.0620155038759689	0.4513618677042801	0.0544747081712062	0.4046692607003891	0.0583657587548638	0.6653696498054474	0.046692607003891	0.4669260700389105
27	0.0544747081712062	0.5077519379844961	0.065891472868217	0.4513618677042801	0.0583657587548638	0.4046692607003891	0.0622568093385214	0.6653696498054474	0.0544747081712062	0.4669260700389105
28	0.0544747081712062	0.5116279069767442	0.065891472868217	0.4785992217898833	0.0583657587548638	0.4319066147859922	0.0622568093385214	0.688715953307393	0.0544747081712062	0.5019455252918288
29	0.0583657587548638	0.5116279069767442	0.0697674418604651	0.4785992217898833	0.0622568093385214	0.4319066147859922	0.0700389105058365	0.688715953307393	0.0583657587548638	0.5019455252918288
30	0.0583657587548638	0.5465116279069767	0.0697674418604651	0.4824902723735408	0.0622568093385214	0.4396887159533074	0.0700389105058365	0.6926070038910506	0.0583657587548638	0.5058365758754864
31	0.0622568093385214	0.5465116279069767	0.0775193798449612	0.4824902723735408	0.0661478599221789	0.4396887159533074	0.0739299610894941	0.6926070038910506	0.0622568093385214	0.5058365758754864
32	0.0622568093385214	0.562015503875969	0.0775193798449612	0.490272373540856	0.0661478599221789	0.4513618677042801	0.0739299610894941	0.7003891050583657	0.0622568093385214	0.5603112840466926
33	0.0661478599221789	0.562015503875969	0.0852713178294573	0.490272373540856	0.0700389105058365	0.4513618677042801	0.0856031128404669	0.7003891050583657	0.0661478599221789	0.5603112840466926
34	0.0661478599221789	0.5813953488372093	0.0852713178294573	0.5097276264591439	0.0700389105058365	0.5136186770428015	0.0856031128404669	0.7354085603112841	0.0661478599221789	0.5836575875486382
35	0.0739299610894941	0.5813953488372093	0.0968992248062015	0.5097276264591439	0.0739299610894941	0.5136186770428015	0.0894941634241245	0.7354085603112841	0.0739299610894941	0.5836575875486382
36	0.0739299610894941	0.6046511627906976	0.0968992248062015	0.5719844357976653	0.0739299610894941	0.5408560311284046	0.0894941634241245	0.7470817120622568	0.0739299610894941	0.603112840466926
37	0.0778210116731517	0.6046511627906976	0.1046511627906976	0.5719844357976653	0.0778210116731517	0.5408560311284046	0.0933852140077821	0.7470817120622568	0.0817120622568093	0.603112840466926
38	0.0778210116731517	0.627906976744186	0.1046511627906976	0.5758754863813229	0.0778210116731517	0.5525291828793775	0.0933852140077821	0.7509727626459144	0.0817120622568093	0.6303501945525292
39	0.0856031128404669	0.627906976744186	0.1085271317829457	0.5758754863813229	0.0817120622568093	0.5525291828793775	0.1050583657587548	0.7509727626459144	0.0856031128404669	0.6303501945525292
40	0.0856031128404669	0.6317829457364341	0.1085271317829457	0.622568093385214	0.0817120622568093	0.5797665369649806	0.1050583657587548	0.7587548638132295	0.0856031128404669	0.6381322957198443
41	0.0894941634241245	0.6317829457364341	0.1124031007751938	0.622568093385214	0.0894941634241245	0.5797665369649806	0.1089494163424124	0.7587548638132295	0.0894941634241245	0.6381322957198443
42	0.0894941634241245	0.6434108527131783	0.1124031007751938	0.6264591439688716	0.0894941634241245	0.5914396887159533	0.1089494163424124	0.7626459143968871	0.0894941634241245	0.642023346303502
43	0.0933852140077821	0.6434108527131783	0.1162790697674418	0.6264591439688716	0.0972762645914396	0.5914396887159533	0.1167315175097276	0.7626459143968871	0.0972762645914396	0.642023346303502
44	0.0933852140077821	0.6511627906976745	0.1162790697674418	0.6342412451361867	0.0972762645914396	0.6342412451361867	0.1167315175097276	0.7782101167315175	0.0972762645914396	0.669260700389105
45	0.0972762645914396	0.6511627906976745	0.1201550387596899	0.6342412451361867	0.1050583657587548	0.6342412451361867	0.1400778210116731	0.7782101167315175	0.1011673151750972	0.669260700389105
46	0.0972762645914396	0.6550387596899225	0.1201550387596899	0.642023346303502	0.1050583657587548	0.6381322957198443	0.1400778210116731	0.7821011673151751	0.1011673151750972	0.688715953307393
47	0.1011673151750972	0.6550387596899225	0.1240310077519379	0.642023346303502	0.1245136186770428	0.6381322957198443	0.1439688715953307	0.7821011673151751	0.1050583657587548	0.688715953307393
48	0.1011673151750972	0.6589147286821705	0.1240310077519379	0.6498054474708171	0.1245136186770428	0.6575875486381323	0.1439688715953307	0.7937743190661478	0.1050583657587548	0.6926070038910506
49	0.1050583657587548	0.6589147286821705	0.127906976744186	0.6498054474708171	0.1284046692607003	0.6575875486381323	0.1478599221789883	0.7937743190661478	0.1089494163424124	0.6926070038910506
50	0.1050583657587548	0.6782945736434108	0.127906976744186	0.6614785992217899	0.1284046692607003	0.6614785992217899	0.1478599221789883	0.8015564202334631	0.1089494163424124	0.6964980544747081
51	0.1089494163424124	0.6782945736434108	0.1395348837209302	0.6614785992217899	0.1322957198443579	0.6614785992217899	0.1517509727626459	0.8015564202334631	0.1245136186770428	0.6964980544747081
52	0.1089494163424124	0.689922480620155	0.1395348837209302	0.669260700389105	0.1322957198443579	0.6653696498054474	0.1517509727626459	0.8210116731517509	0.1245136186770428	0.7042801556420234
53	0.11284046692607	0.689922480620155	0.1434108527131783	0.669260700389105	0.1400778210116731	0.6653696498054474	0.1556420233463035	0.8210116731517509	0.1284046692607003	0.7042801556420234
54	0.11284046692607	0.7054263565891473	0.1434108527131783	0.6770428015564203	0.1400778210116731	0.669260700389105	0.1556420233463035	0.8249027237354085	0.1284046692607003	0.7276264591439688
55	0.1167315175097276	0.7054263565891473	0.1472868217054263	0.6770428015564203	0.1439688715953307	0.669260700389105	0.1867704280155642	0.8249027237354085	0.1322957198443579	0.7276264591439688
56	0.1167315175097276	0.7170542635658915	0.1472868217054263	0.6809338521400778	0.1439688715953307	0.6848249027237354	0.1867704280155642	0.8326848249027238	0.1322957198443579	0.7315175097276264
57	0.1206225680933852	0.7170542635658915	0.1511627906976744	0.6809338521400778	0.1478599221789883	0.6848249027237354	0.1906614785992217	0.8326848249027238	0.1361867704280155	0.7315175097276264
58	0.1206225680933852	0.7325581395348837	0.1511627906976744	0.6848249027237354	0.1478599221789883	0.688715953307393	0.1906614785992217	0.8365758754863813	0.1361867704280155	0.754863813229572
59	0.1322957198443579	0.7325581395348837	0.1550387596899224	0.6848249027237354	0.1634241245136186	0.688715953307393	0.2140077821011673	0.8365758754863813	0.1400778210116731	0.754863813229572
60	0.1322957198443579	0.7364341085271318	0.1550387596899224	0.6926070038910506	0.1634241245136186	0.7003891050583657	0.2140077821011673	0.8404669260700389	0.1400778210116731	0.7626459143968871
61	0.1361867704280155	0.7364341085271318	0.1589147286821705	0.6926070038910506	0.1673151750972762	0.7003891050583657	0.22568093385214	0.8404669260700389	0.1439688715953307	0.7626459143968871
62	0.1361867704280155	0.7403100775193798	0.1589147286821705	0.6964980544747081	0.1673151750972762	0.7276264591439688	0.22568093385214	0.8443579766536965	0.1439688715953307	0.7665369649805448
63	0.1478599221789883	0.7403100775193798	0.1705426356589147	0.6964980544747081	0.1750972762645914	0.7276264591439688	0.2334630350194552	0.8443579766536965	0.1478599221789883	0.7665369649805448
64	0.1478599221789883	0.7441860465116279	0.1705426356589147	0.7159533073929961	0.1750972762645914	0.7354085603112841	0.2334630350194552	0.8521400778210116	0.1478599221789883	0.7937743190661478
65	0.1517509727626459	0.7441860465116279	0.1782945736434108	0.7159533073929961	0.178988326848249	0.7354085603112841	0.2373540856031128	0.8521400778210116	0.1517509727626459	0.7937743190661478
66	0.1517509727626459	0.7558139534883721	0.1782945736434108	0.7315175097276264	0.178988326848249	0.7431906614785992	0.2373540856031128	0.8599221789883269	0.1517509727626459	0.7976653696498055
