precision,recall
0.5,1.0
0.5009746588693957,1.0
0.501953125,1.0
0.50293542074364,1.0
0.503921568627451,1.0
0.5049115913555993,1.0
0.5059055118110236,1.0
0.5069033530571992,1.0
0.5079051383399209,1.0
0.5089108910891089,1.0
0.5099206349206349,1.0
0.510934393638171,1.0
0.5119521912350598,1.0
0.5129740518962076,1.0
0.514,1.0
0.5150300601202404,1.0
0.5160642570281124,1.0
0.5171026156941649,1.0
0.5181451612903226,1.0
0.5191919191919192,1.0
0.520242914979757,1.0
0.5212981744421906,1.0
0.5223577235772358,1.0
0.5234215885947047,1.0
0.5244897959183673,1.0
0.5255623721881391,1.0
0.5266393442622951,1.0
0.5277207392197125,1.0
0.5288065843621399,1.0
0.5298969072164949,1.0
0.53099173553719,1.0
0.5320910973084886,1.0
0.533195020746888,1.0
0.5343035343035343,1.0
0.5354166666666667,1.0
0.5365344467640919,1.0
0.5376569037656904,1.0
0.5387840670859538,1.0
0.5399159663865546,1.0
0.5410526315789473,1.0
0.5421940928270043,1.0
0.5433403805496829,1.0
0.5444915254237288,1.0
0.5456475583864119,1.0
0.5468085106382978,1.0
0.5479744136460555,1.0
0.5491452991452992,1.0
0.550321199143469,1.0
0.5515021459227468,1.0
0.5526881720430108,1.0
0.5538793103448276,1.0
0.5550755939524838,1.0
0.5562770562770563,1.0
0.5574837310195228,1.0
0.558695652173913,1.0
0.5599128540305011,1.0
0.5611353711790393,1.0
0.562363238512035,1.0
0.5635964912280702,1.0
0.5626373626373626,0.9961089494163424
0.5638766519823789,0.9961089494163424
0.565121412803532,0.9961089494163424
0.5663716814159292,0.9961089494163424
0.5676274944567627,0.9961089494163424
0.5688888888888889,0.9961089494163424
0.5701559020044543,0.9961089494163424
0.5714285714285714,0.9961089494163424
0.5727069351230425,0.9961089494163424
0.5739910313901345,0.9961089494163424
0.5752808988764045,0.9961089494163424
0.5765765765765766,0.9961089494163424
0.5778781038374717,0.9961089494163424
0.579185520361991,0.9961089494163424
0.5804988662131519,0.9961089494163424
0.5818181818181818,0.9961089494163424
0.5831435079726651,0.9961089494163424
0.5844748858447488,0.9961089494163424
0.585812356979405,0.9961089494163424
0.5871559633027523,0.9961089494163424
0.5885057471264368,0.9961089494163424
0.5898617511520737,0.9961089494163424
0.5912240184757506,0.9961089494163424
0.5925925925925926,0.9961089494163424
0.5939675174013921,0.9961089494163424
0.5953488372093023,0.9961089494163424
0.5967365967365967,0.9961089494163424
0.5981308411214953,0.9961089494163424
0.5995316159250585,0.9961089494163424
0.5985915492957746,0.9922178988326849
0.6,0.9922178988326849
0.6014150943396226,0.9922178988326849
0.6028368794326241,0.9922178988326849
0.6042654028436019,0.9922178988326849
0.6057007125890737,0.9922178988326849
0.6047619047619047,0.9883268482490273
0.6062052505966588,0.9883268482490273
0.6076555023923444,0.9883268482490273
0.6091127098321343,0.9883268482490273
0.6105769230769231,0.9883268482490273
0.6120481927710844,0.9883268482490273
0.6135265700483091,0.9883268482490273
0.6150121065375302,0.9883268482490273
0.616504854368932,0.9883268482490273
0.6180048661800487,0.9883268482490273
0.6195121951219512,0.9883268482490273
0.6210268948655256,0.9883268482490273
0.6225490196078431,0.9883268482490273
0.6240786240786241,0.9883268482490273
0.625615763546798,0.9883268482490273
