precision,recall
0.5,1.0
0.5009746588693957,1.0
0.501953125,1.0
0.50293542074364,1.0
0.503921568627451,1.0
0.5049115913555993,1.0
0.5059055118110236,1.0
0.5069033530571992,1.0
0.5079051383399209,1.0
0.5089108910891089,1.0
0.5099206349206349,1.0
0.510934393638171,1.0
0.5119521912350598,1.0
0.5129740518962076,1.0
0.514,1.0
0.5150300601202404,1.0
0.5160642570281124,1.0
0.5171026156941649,1.0
0.5181451612903226,1.0
0.5191919191919192,1.0
0.5182186234817814,0.9961089494163424
0.5192697768762677,0.9961089494163424
0.5203252032520326,0.9961089494163424
0.5213849287169042,0.9961089494163424
0.5224489795918368,0.9961089494163424
0.523517382413088,0.9961089494163424
0.5225409836065574,0.9922178988326849
0.5215605749486653,0.9883268482490273
0.5205761316872428,0.9844357976653697
0.5216494845360825,0.9844357976653697
0.5227272727272727,0.9844357976653697
0.5238095238095238,0.9844357976653697
0.524896265560166,0.9844357976653697
0.525987525987526,0.9844357976653697
0.5270833333333333,0.9844357976653697
0.5281837160751566,0.9844357976653697
0.5292887029288703,0.9844357976653697
0.5283018867924528,0.980544747081712
0.5294117647058824,0.980544747081712
0.5284210526315789,0.9766536964980544
0.5274261603375527,0.9727626459143969
0.5285412262156448,0.9727626459143969
0.5296610169491526,0.9727626459143969
0.5307855626326964,0.9727626459143969
0.5319148936170213,0.9727626459143969
0.5330490405117271,0.9727626459143969
0.532051282051282,0.9688715953307393
0.5331905781584583,0.9688715953307393
0.5321888412017167,0.9649805447470817
0.5333333333333333,0.9649805447470817
0.5323275862068966,0.9610894941634242
0.5334773218142549,0.9610894941634242
0.5346320346320347,0.9610894941634242
0.5357917570498916,0.9610894941634242
0.5347826086956522,0.9571984435797666
0.5359477124183006,0.9571984435797666
0.5349344978165939,0.953307392996109
0.5361050328227571,0.953307392996109
0.5372807017543859,0.953307392996109
0.5384615384615384,0.953307392996109
0.539647577092511,0.953307392996109
0.5408388520971302,0.953307392996109
0.5420353982300885,0.953307392996109
0.5432372505543237,0.953307392996109
0.5444444444444444,0.953307392996109
0.5456570155902004,0.953307392996109
0.546875,0.953307392996109
0.5480984340044742,0.953307392996109
0.5493273542600897,0.953307392996109
0.550561797752809,0.953307392996109
0.5495495495495496,0.9494163424124513
0.5507900677200903,0.9494163424124513
0.5520361990950227,0.9494163424124513
0.5532879818594104,0.9494163424124513
0.5522727272727272,0.9455252918287937
0.5535307517084282,0.9455252918287937
0.5547945205479452,0.9455252918287937
0.5560640732265446,0.9455252918287937
0.5573394495412844,0.9455252918287937
0.5586206896551724,0.9455252918287937
0.5576036866359447,0.9416342412451362
0.558891454965358,0.9416342412451362
0.5601851851851852,0.9416342412451362
0.5614849187935035,0.9416342412451362
0.5627906976744186,0.9416342412451362
0.5641025641025641,0.9416342412451362
0.5654205607476636,0.9416342412451362
0.5667447306791569,0.9416342412451362
0.568075117370892,0.9416342412451362
0.5694117647058824,0.9416342412451362
0.5707547169811321,0.9416342412451362
0.5697399527186762,0.9377431906614786
0.5687203791469194,0.933852140077821
0.5700712589073634,0.933852140077821
0.5714285714285714,0.933852140077821
0.5704057279236276,0.9299610894941635
0.5717703349282297,0.9299610894941635
0.5731414868105515,0.9299610894941635
0.5745192307692307,0.9299610894941635
