fpr,tpr
0.0,0.0
0.0,0.007782101167315175
0.0,0.023346303501945526
0.0,0.027237354085603113
0.0,0.058365758754863814
0.0,0.10505836575875487
0.0,0.10894941634241245
0.0,0.11673151750972763
0.0038910505836575876,0.13229571984435798
0.007782101167315175,0.13618677042801555
0.007782101167315175,0.16342412451361868
0.007782101167315175,0.17120622568093385
0.007782101167315175,0.20233463035019456
0.007782101167315175,0.2140077821011673
0.011673151750972763,0.22957198443579765
0.01556420233463035,0.22957198443579765
0.01556420233463035,0.23735408560311283
0.01556420233463035,0.24124513618677043
0.01556420233463035,0.25680933852140075
0.01556420233463035,0.2801556420233463
0.019455252918287938,0.2801556420233463
0.019455252918287938,0.29571984435797666
0.019455252918287938,0.3035019455252918
0.023346303501945526,0.31906614785992216
0.023346303501945526,0.33073929961089493
0.023346303501945526,0.33852140077821014
0.023346303501945526,0.35019455252918286
0.023346303501945526,0.3540856031128405
0.027237354085603113,0.35797665369649806
0.027237354085603113,0.36964980544747084
0.027237354085603113,0.38910505836575876
0.027237354085603113,0.39299610894941633
0.027237354085603113,0.40077821011673154
0.027237354085603113,0.41245136186770426
0.0311284046692607,0.41245136186770426
0.0311284046692607,0.42023346303501946
0.03501945525291829,0.42412451361867703
0.03501945525291829,0.43190661478599224
0.03501945525291829,0.4357976653696498
0.038910505836575876,0.4396887159533074
0.042801556420233464,0.4396887159533074
0.042801556420233464,0.45136186770428016
0.042801556420233464,0.4591439688715953
0.04669260700389105,0.4591439688715953
0.04669260700389105,0.4669260700389105
0.05058365758754864,0.4708171206225681
0.05058365758754864,0.4785992217898833
0.05058365758754864,0.48638132295719844
0.05058365758754864,0.49416342412451364
0.05058365758754864,0.5019455252918288
0.05058365758754864,0.5097276264591439
0.05058365758754864,0.5175097276264592
0.05058365758754864,0.5252918287937743
0.05058365758754864,0.5291828793774319
0.05058365758754864,0.5369649805447471
0.05058365758754864,0.5447470817120622
0.054474708171206226,0.5486381322957199
