	Precision0	Recall0	Precision1	Recall1	Precision2	Recall2	Precision3	Recall3	Precision4	Recall4
0	0.5009708737864078	1.0	0.4990291262135922	1.0	0.5	1.0	0.5	1.0	0.5	1.0
1	0.5108910891089109	1.0	0.5	1.0	0.501953125	1.0	0.5059055118110236	1.0	0.501953125	1.0
2	0.5191146881287726	1.0	0.5009746588693957	1.0	0.50293542074364	1.0	0.5119521912350598	1.0	0.5059055118110236	1.0
3	0.5254582484725051	1.0	0.503921568627451	1.0	0.5069033530571992	1.0	0.5160642570281124	1.0	0.5099206349206349	1.0
4	0.5333333333333333	0.992248062015504	0.5059055118110236	1.0	0.510934393638171	1.0	0.5181451612903226	1.0	0.512	0.9961089494163424
5	0.5425531914893617	0.9883720930232558	0.5069033530571992	1.0	0.5160642570281124	1.0	0.5212981744421906	1.0	0.5182186234817814	0.9961089494163424
6	0.5472103004291845	0.9883720930232558	0.5079051383399209	1.0	0.5171026156941649	1.0	0.5244897959183673	1.0	0.5213849287169042	0.9961089494163424
7	0.550755939524838	0.9883720930232558	0.5089108910891089	1.0	0.5191919191919192	1.0	0.5277207392197125	1.0	0.5289256198347108	0.9961089494163424
8	0.5579868708971554	0.9883720930232558	0.5099206349206349	1.0	0.5255623721881391	1.0	0.53099173553719	1.0	0.5322245322245323	0.9961089494163424
9	0.5666666666666667	0.9883720930232558	0.510934393638171	1.0	0.5266393442622951	1.0	0.533195020746888	1.0	0.5355648535564853	0.9961089494163424
10	0.5730337078651685	0.9883720930232558	0.5119521912350598	1.0	0.534446764091858	0.9961089494163424	0.5343035343035343	1.0	0.5412262156448203	0.9961089494163424
11	0.5821917808219178	0.9883720930232558	0.5129740518962076	1.0	0.540084388185654	0.9961089494163424	0.5365344467640919	1.0	0.5470085470085471	0.9961089494163424
12	0.5848623853211009	0.9883720930232558	0.514	1.0	0.5446808510638298	0.9961089494163424	0.5412262156448203	0.9961089494163424	0.5493562231759657	0.9961089494163424
13	0.5902777777777778	0.9883720930232558	0.5150300601202404	1.0	0.5470085470085471	0.9961089494163424	0.5435244161358811	0.9961089494163424	0.5553145336225597	0.9961089494163424
14	0.5957943925233645	0.9883720930232558	0.5160642570281124	1.0	0.5529157667386609	0.9961089494163424	0.5470085470085471	0.9961089494163424	0.5565217391304348	0.9961089494163424
15	0.6	0.9883720930232558	0.5171026156941649	1.0	0.5565217391304348	0.9961089494163424	0.5493562231759657	0.9961089494163424	0.5589519650655022	0.9961089494163424
16	0.6071428571428571	0.9883720930232558	0.5181451612903226	1.0	0.5589519650655022	0.9961089494163424	0.5517241379310345	0.9961089494163424	0.5626373626373626	0.9961089494163424
17	0.6174334140435835	0.9883720930232558	0.5191919191919192	1.0	0.5601750547045952	0.9961089494163424	0.5529157667386609	0.9961089494163424	0.565121412803532	0.9961089494163424
18	0.6204379562043796	0.9883720930232558	0.520242914979757	1.0	0.5638766519823789	0.9961089494163424	0.5589519650655022	0.9961089494163424	0.5688888888888889	0.9961089494163424
19	0.6234718826405868	0.9883720930232558	0.5212981744421906	1.0	0.565410199556541	0.9922178988326849	0.5601750547045952	0.9961089494163424	0.5714285714285714	0.9961089494163424
20	0.6280788177339901	0.9883720930232558	0.5223577235772358	1.0	0.5666666666666667	0.9922178988326849	0.5626373626373626	0.9961089494163424	0.5752808988764045	0.9961089494163424
21	0.6287128712871287	0.9844961240310076	0.5234215885947047	1.0	0.5691964285714286	0.9922178988326849	0.5638766519823789	0.9961089494163424	0.5778781038374717	0.9961089494163424
22	0.635	0.9844961240310076	0.5244897959183673	1.0	0.5717488789237668	0.9922178988326849	0.5663716814159292	0.9961089494163424	0.5804988662131519	0.9961089494163424
23	0.6397984886649875	0.9844961240310076	0.5255623721881391	1.0	0.5782312925170068	0.9922178988326849	0.5676274944567627	0.9961089494163424	0.5844748858447488	0.9961089494163424
24	0.6446700507614214	0.9844961240310076	0.5266393442622951	1.0	0.5795454545454546	0.9922178988326849	0.5714285714285714	0.9961089494163424	0.5848623853211009	0.9922178988326849
25	0.6463104325699746	0.9844961240310076	0.5277207392197125	1.0	0.5835240274599542	0.9922178988326849	0.5727069351230425	0.9961089494163424	0.5862068965517241	0.9922178988326849
26	0.649616368286445	0.9844961240310076	0.5288065843621399	1.0	0.5889145496535797	0.9922178988326849	0.5765765765765766	0.9961089494163424	0.5916473317865429	0.9922178988326849
27	0.6512820512820513	0.9844961240310076	0.5298969072164949	1.0	0.5902777777777778	0.9922178988326849	0.5804988662131519	0.9961089494163424	0.5934579439252337	0.9883268482490272
28	0.654639175257732	0.9844961240310076	0.53099173553719	1.0	0.5916473317865429	0.9922178988326849	0.5818181818181818	0.9961089494163424	0.594847775175644	0.9883268482490272
29	0.6563307493540051	0.9844961240310076	0.5320910973084886	1.0	0.5944055944055944	0.9922178988326849	0.585812356979405	0.9961089494163424	0.596244131455399	0.9883268482490272
30	0.6580310880829016	0.9844961240310076	0.533195020746888	1.0	0.5957943925233645	0.9922178988326849	0.5885057471264368	0.9961089494163424	0.5990566037735849	0.9883268482490272
31	0.662303664921466	0.9806201550387597	0.5322245322245323	0.9961089494163424	0.6014150943396226	0.9922178988326849	0.5939675174013921	0.9961089494163424	0.6004728132387707	0.9883268482490272
32	0.6710875331564987	0.9806201550387597	0.5333333333333333	0.9961089494163424	0.6071428571428571	0.9922178988326849	0.5944055944055944	0.9922178988326849	0.6018957345971564	0.9883268482490272
33	0.672	0.9767441860465116	0.534446764091858	0.9961089494163424	0.6085918854415274	0.9922178988326849	0.5957943925233645	0.9922178988326849	0.6062052505966588	0.9883268482490272
34	0.6737967914438503	0.9767441860465116	0.5355648535564853	0.9961089494163424	0.6115107913669064	0.9922178988326849	0.5971896955503513	0.9922178988326849	0.6076555023923444	0.9883268482490272
35	0.6765498652291105	0.9728682170542636	0.5366876310272537	0.9961089494163424	0.6129807692307693	0.9922178988326849	0.5985915492957746	0.9922178988326849	0.6105769230769231	0.9883268482490272
36	0.6783783783783783	0.9728682170542636	0.5378151260504201	0.9961089494163424	0.6144578313253012	0.9922178988326849	0.6	0.9922178988326849	0.6120481927710844	0.9883268482490272
37	0.6820652173913043	0.9728682170542636	0.5389473684210526	0.9961089494163424	0.6189320388349514	0.9922178988326849	0.6028368794326241	0.9922178988326849	0.6150121065375302	0.9883268482490272
38	0.684931506849315	0.9689922480620154	0.540084388185654	0.9961089494163424	0.6234718826405868	0.9922178988326849	0.6071428571428571	0.9922178988326849	0.6195121951219512	0.9883268482490272
39	0.6878453038674033	0.9651162790697676	0.5412262156448203	0.9961089494163424	0.6280788177339901	0.9922178988326849	0.6085918854415274	0.9922178988326849	0.6225490196078431	0.9883268482490272
40	0.6935933147632312	0.9651162790697676	0.5423728813559322	0.9961089494163424	0.6296296296296297	0.9922178988326849	0.6129807692307693	0.9922178988326849	0.6240786240786241	0.9883268482490272
41	0.7005649717514124	0.9612403100775194	0.5435244161358811	0.9961089494163424	0.6311881188118812	0.9922178988326849	0.6144578313253012	0.9922178988326849	0.6271604938271605	0.9883268482490272
42	0.7037037037037037	0.9573643410852714	0.5446808510638298	0.9961089494163424	0.6343283582089553	0.9922178988326849	0.6189320388349514	0.9922178988326849	0.6287128712871287	0.9883268482490272
43	0.7057142857142857	0.9573643410852714	0.5458422174840085	0.9961089494163424	0.6359102244389028	0.9922178988326849	0.6219512195121951	0.9922178988326849	0.630272952853598	0.9883268482490272
44	0.7118155619596542	0.9573643410852714	0.5470085470085471	0.9961089494163424	0.6375	0.9922178988326849	0.6265356265356266	0.9922178988326849	0.6293532338308457	0.9844357976653696
45	0.7130434782608696	0.9534883720930232	0.5481798715203426	0.9961089494163424	0.6390977443609023	0.9922178988326849	0.6271604938271605	0.9883268482490272	0.6309226932668329	0.9844357976653696
46	0.7151162790697675	0.9534883720930232	0.5472103004291845	0.9922178988326849	0.6397984886649875	0.9883268482490272	0.6287128712871287	0.9883268482490272	0.6325	0.9844357976653696
47	0.717201166180758	0.9534883720930232	0.5483870967741935	0.9922178988326849	0.6388888888888888	0.9844357976653696	0.6334164588528678	0.9883268482490272	0.6340852130325815	0.9844357976653696
48	0.7227138643067846	0.9496124031007752	0.5495689655172413	0.9922178988326849	0.6421319796954315	0.9844357976653696	0.6365914786967418	0.9883268482490272	0.635678391959799	0.9844357976653696
49	0.7240356083086054	0.9457364341085271	0.550755939524838	0.9922178988326849	0.6437659033078881	0.9844357976653696	0.6381909547738693	0.9883268482490272	0.6372795969773299	0.9844357976653696
50	0.7223880597014926	0.937984496124031	0.551948051948052	0.9922178988326849	0.6445012787723785	0.980544747081712	0.6397984886649875	0.9883268482490272	0.6363636363636364	0.980544747081712
51	0.7250755287009063	0.9302325581395348	0.5531453362255966	0.9922178988326849	0.6461538461538462	0.980544747081712	0.6414141414141414	0.9883268482490272	0.6379746835443038	0.980544747081712
52	0.7272727272727273	0.9302325581395348	0.5543478260869565	0.9922178988326849	0.6494845360824743	0.980544747081712	0.6430379746835443	0.9883268482490272	0.6461538461538462	0.980544747081712
53	0.7317073170731707	0.9302325581395348	0.5555555555555556	0.9922178988326849	0.6511627906976745	0.980544747081712	0.6446700507614214	0.9883268482490272	0.6478149100257069	0.980544747081712
54	0.7339449541284404	0.9302325581395348	0.5567685589519651	0.9922178988326849	0.6528497409326425	0.980544747081712	0.6454081632653061	0.9844357976653696	0.6469072164948454	0.9766536964980544
55	0.7331288343558282	0.9263565891472868	0.5579868708971554	0.9922178988326849	0.6545454545454545	0.980544747081712	0.6470588235294118	0.9844357976653696	0.6519480519480519	0.9766536964980544
56	0.7376543209876543	0.9263565891472868	0.5592105263157895	0.9922178988326849	0.65625	0.980544747081712	0.6487179487179487	0.9844357976653696	0.6544502617801047	0.9727626459143968
57	0.7368421052631579	0.9224806201550388	0.5604395604395604	0.9922178988326849	0.6614173228346457	0.980544747081712	0.6478149100257069	0.980544747081712	0.6578947368421053	0.9727626459143968
58	0.7414330218068536	0.9224806201550388	0.5616740088105727	0.9922178988326849	0.6631578947368421	0.980544747081712	0.6511627906976745	0.980544747081712	0.6613756613756614	0.9727626459143968
59	0.740625	0.9186046511627908	0.5629139072847682	0.9922178988326849	0.6640211640211641	0.9766536964980544	0.6579634464751958	0.980544747081712	0.6631299734748011	0.9727626459143968
60	0.7452830188679245	0.9186046511627908	0.5641592920353983	0.9922178988326849	0.6657824933687002	0.9766536964980544	0.6587926509186351	0.9766536964980544	0.6666666666666666	0.9727626459143968
61	0.746031746031746	0.9108527131782944	0.565410199556541	0.9922178988326849	0.6675531914893617	0.9766536964980544	0.6605263157894737	0.9766536964980544	0.6684491978609626	0.9727626459143968
62	0.7507987220447284	0.9108527131782944	0.5666666666666667	0.9922178988326849	0.6684491978609626	0.9727626459143968	0.662269129287599	0.9766536964980544	0.6711590296495957	0.9688715953307392
63	0.752411575562701	0.9069767441860463	0.5679287305122495	0.9922178988326849	0.6702412868632708	0.9727626459143968	0.6675531914893617	0.9766536964980544	0.6747967479674797	0.9688715953307392
64	0.7572815533980582	0.9069767441860463	0.5691964285714286	0.9922178988326849	0.6720430107526881	0.9727626459143968	0.6711229946524064	0.9766536964980544	0.6784741144414169	0.9688715953307392
65	0.758957654723127	0.9031007751937984	0.5704697986577181	0.9922178988326849	0.6756756756756757	0.9727626459143968	0.6729222520107239	0.9766536964980544	0.680327868852459	0.9688715953307392
66	0.7581699346405228	0.8992248062015504	0.5717488789237668	0.9922178988326849	0.6775067750677507	0.9727626459143968	0.6765498652291105	0.9766536964980544	0.6840659340659341	0.9688715953307392
67	0.7598684210526315	0.8953488372093024	0.5730337078651685	0.9922178988326849	0.6811989100817438	0.9727626459143968	0.6756756756756757	0.9727626459143968	0.6859504132231405	0.9688715953307392
68	0.7582781456953642	0.8875968992248062	0.5743243243243243	0.9922178988326849	0.6830601092896175	0.9727626459143968	0.6775067750677507	0.9727626459143968	0.6878453038674033	0.9688715953307392
